production_company,movie_count,prod_company_rank
"Ay Yapim",1,11
"Aatpaat Production",1,11
"Channambika Films",1,11
"Cinenic Film",1,11
"The United Team of Art",1,11
"Grahalakshmi Productions",1,11
"Mahesh Manjrekar Movies",1,11
"Manikya Productions",1,11
"Bombay Walla Films",1,11
"Viva Inen Productions",1,11
"Banana Film DOOEL",1,11
"Toei Animation",1,11
"Golden Horse Cinema",1,11
"V. Creations",1,11
"Moonshot Entertainments",1,11
"Humble Motion Pictures",1,11
"Coconut Motion Pictures",1,11
"Bayview Projects",1,11
"Piecewing Productions",1,11
"Manyam Productions",1,11
"Suresh Productions",1,11
"Benzy Productions",1,11
"RMCC Productions",1,11
