title,avg_rating,avg_rating_category
"Coffin 2",5.5,"one-time-watch movies"
"La Misma Sangre",6.0,"one-time-watch movies"
"The Corrupted",5.7,"one-time-watch movies"
"Killing Gunther",4.7,"Flop movies"
Mom,7.3,"Hit movies"
"Slender Man",3.2,"Flop movies"
ExPatriot,4.1,"Flop movies"
"Darkness Visible",5.5,"one-time-watch movies"
"American Criminal",7.6,"Hit movies"
"The Changeover",5.3,"one-time-watch movies"
"Dark River",5.8,"one-time-watch movies"
Everfall,3.5,"Flop movies"
Heartthrob,5.5,"one-time-watch movies"
Madre,5.6,"one-time-watch movies"
"Carnivore: Werewolf of London",3.3,"Flop movies"
"The Killing of a Sacred Deer",7.0,"Hit movies"
Thumper,5.8,"one-time-watch movies"
"Small Crimes",5.8,"one-time-watch movies"
"Never Hike Alone",6.9,"one-time-watch movies"
"Aus dem Nichts",7.1,"Hit movies"
"Insidious: The Last Key",5.7,"one-time-watch movies"
"The Stranger Inside",4.7,"Flop movies"
"Salinjaui gieokbeob",7.1,"Hit movies"
Involution,3.6,"Flop movies"
"The Possession of Hannah Grace",5.2,"one-time-watch movies"
"Sam Was Here",4.8,"Flop movies"
Midnighters,5.3,"one-time-watch movies"
"Red Room",3.3,"Flop movies"
"Il permesso - 48 ore fuori",6.0,"one-time-watch movies"
"Small Town Crime",6.6,"one-time-watch movies"
Skyscraper,5.8,"one-time-watch movies"
"Kung Fu Traveler",5.4,"one-time-watch movies"
Freddy/Eddy,6.4,"one-time-watch movies"
Tiyaan,6.7,"one-time-watch movies"
"Bad Blood",4.3,"Flop movies"
Voidfinder,5.9,"one-time-watch movies"
"Tera Intezaar",1.7,"Flop movies"
"The Institute",4.1,"Flop movies"
"The Cutlass",4.3,"Flop movies"
"Running with the Devil",5.4,"one-time-watch movies"
"Dementia 13",4.3,"Flop movies"
"The Archer",5.1,"one-time-watch movies"
"Let Her Out",4.4,"Flop movies"
"Ji qi zhi xue",5.2,"one-time-watch movies"
"Christmas Crime Story",4.3,"Flop movies"
"The Nun",5.3,"one-time-watch movies"
"Close Calls",5.0,"one-time-watch movies"
"Tout nous sépare",5.0,"one-time-watch movies"
"Laissez bronzer les cadavres",6.2,"one-time-watch movies"
"What Death Leaves Behind",8.3,"superhit movies"
"Look Away",6.2,"one-time-watch movies"
"Devil in the Dark",4.7,"Flop movies"
"River Runs Red",4.8,"Flop movies"
"Dark Meridian",4.7,"Flop movies"
"Chai dan zhuan jia",6.3,"one-time-watch movies"
"American Violence",4.5,"Flop movies"
Lasso,4.6,"Flop movies"
"The Atoning",4.1,"Flop movies"
"The Poison Rose",4.6,"Flop movies"
"The Capture",5.1,"one-time-watch movies"
Silencer,3.8,"Flop movies"
"Created Equal",5.1,"one-time-watch movies"
"The Student",4.4,"Flop movies"
Serpent,4.5,"Flop movies"
"22-nenme no kokuhaku: Watashi ga satsujinhan desu",6.8,"one-time-watch movies"
"First Kill",5.0,"one-time-watch movies"
"The Super",6.0,"one-time-watch movies"
"Ghatel-e ahli",4.4,"Flop movies"
"Cain Hill",3.5,"Flop movies"
Ezra,6.7,"one-time-watch movies"
"Project Ghazi",5.8,"one-time-watch movies"
"Avenge the Crows",5.2,"one-time-watch movies"
"Dead on Arrival",6.1,"one-time-watch movies"
"The Nursery",5.5,"one-time-watch movies"
"Ana de día",5.6,"one-time-watch movies"
"Thondimuthalum Dhriksakshiyum",8.2,"superhit movies"
"Beyond the Night",5.2,"one-time-watch movies"
Hongo,6.3,"one-time-watch movies"
"A Death in the Gunj",7.5,"Hit movies"
"A Crooked Somebody",6.2,"one-time-watch movies"
"Marlina si Pembunuh dalam Empat Babak",7.0,"Hit movies"
"The Pale Man",4.4,"Flop movies"
Stay,5.1,"one-time-watch movies"
"Steel Country",6.1,"one-time-watch movies"
BuyBust,5.8,"one-time-watch movies"
"We Have Always Lived in the Castle",5.6,"one-time-watch movies"
"Commando 2",5.2,"one-time-watch movies"
"Tiger Zinda Hai",6.0,"one-time-watch movies"
Motorrad,4.7,"Flop movies"
"The Cabin",3.0,"Flop movies"
Zavod,7.0,"Hit movies"
"The Angel",6.6,"one-time-watch movies"
"Captive State",6.0,"one-time-watch movies"
"Lost Fare",4.5,"Flop movies"
"The Transcendents",7.8,"Hit movies"
"Bad Match",5.5,"one-time-watch movies"
"La niebla y la doncella",5.4,"one-time-watch movies"
"First Light",5.5,"one-time-watch movies"
"The 13th Friday",3.0,"Flop movies"
"Roman J. Israel, Esq.",6.4,"one-time-watch movies"
"What Lies Ahead",3.4,"Flop movies"
"Oru Mexican Aparatha",6.0,"one-time-watch movies"
"Extracurricular Activities",6.1,"one-time-watch movies"
"What Still Remains",4.6,"Flop movies"
"S.W.A.T.: Under Siege",4.5,"Flop movies"
"The Strange Ones",5.0,"one-time-watch movies"
Sawoleuiggeut,5.6,"one-time-watch movies"
Obsession,4.6,"Flop movies"
"All Light Will End",4.3,"Flop movies"
"The Wrong Mother",5.5,"one-time-watch movies"
"Mal Nosso",5.4,"one-time-watch movies"
"La Cordillera",6.0,"one-time-watch movies"
"Welcome to Acapulco",4.2,"Flop movies"
"Die Vierhändige",6.4,"one-time-watch movies"
"First Reformed",7.1,"Hit movies"
"The Toybox",3.7,"Flop movies"
Monos,7.5,"Hit movies"
Acrimony,5.8,"one-time-watch movies"
[Cargo],2.5,"Flop movies"
Bitch,5.0,"one-time-watch movies"
"The School",3.8,"Flop movies"
Possum,5.5,"one-time-watch movies"
"Looking Glass",4.5,"Flop movies"
Still/Born,5.4,"one-time-watch movies"
"Hitsuji no ki",6.4,"one-time-watch movies"
M/M,4.9,"Flop movies"
Romina,2.2,"Flop movies"
Mona_Darling,5.2,"one-time-watch movies"
"Point of no Return",4.0,"Flop movies"
Khoj,6.8,"one-time-watch movies"
Radius,6.2,"one-time-watch movies"
Isabelle,4.3,"Flop movies"
"A Thought of Ecstasy",4.1,"Flop movies"
Kaalakaandi,6.2,"one-time-watch movies"
Jackals,5.4,"one-time-watch movies"
Ramaleela,7.4,"Hit movies"
Aadhi,6.7,"one-time-watch movies"
"The Young Cannibals",3.6,"Flop movies"
"The Night Comes for Us",7.0,"Hit movies"
"Jahr des Tigers",5.6,"one-time-watch movies"
"Paradise Hills",6.1,"one-time-watch movies"
"Blood Prism",2.6,"Flop movies"
Araña,6.7,"one-time-watch movies"
Asher,5.4,"one-time-watch movies"
"The Line",6.8,"one-time-watch movies"
"Girl Followed",4.9,"Flop movies"
Downrange,5.4,"one-time-watch movies"
"Bullitt County",4.9,"Flop movies"
"The Black String",5.2,"one-time-watch movies"
"Skin in the Game",4.3,"Flop movies"
Hex,4.9,"Flop movies"
Distorted,5.3,"one-time-watch movies"
"John Wick: Chapter 3 - Parabellum",7.6,"Hit movies"
"Vikram Vedha",8.7,"superhit movies"
K.O.,5.4,"one-time-watch movies"
"Best F(r)iends: Volume 1",5.5,"one-time-watch movies"
Perdidos,4.8,"Flop movies"
Astro,2.1,"Flop movies"
"The Nanny",4.1,"Flop movies"
"A Violent Man",5.8,"one-time-watch movies"
"Angamaly Diaries",8.0,"Hit movies"
"Naam Shabana",6.3,"one-time-watch movies"
"Paint It Red",4.1,"Flop movies"
Feedback,7.4,"Hit movies"
"Nur Gott kann mich richten",6.7,"one-time-watch movies"
"St. Agatha",5.1,"one-time-watch movies"
"Canal Street",3.9,"Flop movies"
Carbone,6.6,"one-time-watch movies"
"The Executioners",3.8,"Flop movies"
"Angel Has Fallen",6.5,"one-time-watch movies"
X.,6.5,"one-time-watch movies"
Gremlin,3.8,"Flop movies"
Berserk,3.6,"Flop movies"
"Zero 3",6.6,"one-time-watch movies"
"The Kill Team",5.9,"one-time-watch movies"
Malicious,5.0,"one-time-watch movies"
Bairavaa,5.9,"one-time-watch movies"
"The Villain",5.8,"one-time-watch movies"
Urvi,7.0,"Hit movies"
"Bullet Head",5.4,"one-time-watch movies"
"The Crossbreed",2.3,"Flop movies"
Trapped,7.5,"Hit movies"
Funôhan,5.3,"one-time-watch movies"
"No Date, No Signature",7.2,"Hit movies"
Loverboy,5.8,"one-time-watch movies"
10x10,5.0,"one-time-watch movies"
"Öteki Taraf",6.2,"one-time-watch movies"
"The Journey",6.1,"one-time-watch movies"
"The Russian Bride",6.0,"one-time-watch movies"
Allure,4.9,"Flop movies"
Cereyan,4.5,"Flop movies"
Calibre,6.7,"one-time-watch movies"
Pledge,5.4,"one-time-watch movies"
Occidental,5.4,"one-time-watch movies"
"Halt: The Motion Picture",3.7,"Flop movies"
Ride,5.5,"one-time-watch movies"
"Accident Man",6.2,"one-time-watch movies"
Shelter,5.4,"one-time-watch movies"
Followers,3.7,"Flop movies"
Sarvann,5.9,"one-time-watch movies"
#Selfi,5.1,"one-time-watch movies"
"Candy Corn",3.8,"Flop movies"
Konvert,5.5,"one-time-watch movies"
"In This Gray Place",6.9,"one-time-watch movies"
"Door in the Woods",3.4,"Flop movies"
Abstruse,9.0,"superhit movies"
"Vodka Diaries",5.6,"one-time-watch movies"
"Raju Gari Gadhi 2",5.3,"one-time-watch movies"
"Love Me Not",6.1,"one-time-watch movies"
"Kolaiyuthir Kaalam",2.7,"Flop movies"
Knuckleball,5.7,"one-time-watch movies"
"Acts of Vengeance",5.7,"one-time-watch movies"
"Mon garçon",5.8,"one-time-watch movies"
Witch-Hunt,5.5,"one-time-watch movies"
"Hong yi xiao nu hai 2",5.5,"one-time-watch movies"
"The Ghazi Attack",7.6,"Hit movies"
"Broken Ghost",5.0,"one-time-watch movies"
Matriarch,5.7,"one-time-watch movies"
"Perfect Skin",5.1,"one-time-watch movies"
Yeo-gyo-sa,5.9,"one-time-watch movies"
"Game of Death",5.9,"one-time-watch movies"
"Take Off",8.3,"superhit movies"
"Empathy, Inc.",4.3,"Flop movies"
"Deadly Expose",3.3,"Flop movies"
Bogan,6.4,"one-time-watch movies"
Inuyashiki,6.7,"one-time-watch movies"
"Burn Out",6.1,"one-time-watch movies"
Keshava,6.4,"one-time-watch movies"
"Where the Skin Lies",4.0,"Flop movies"
"Adhe Kangal",7.3,"Hit movies"
"Sniper: Ultimate Kill",5.6,"one-time-watch movies"
"The Guardian Angel",5.3,"one-time-watch movies"
"Last Ferry",7.2,"Hit movies"
"Edge of Isolation",3.4,"Flop movies"
"Una especie de familia",6.3,"one-time-watch movies"
Aake,6.0,"one-time-watch movies"
Spell,6.2,"one-time-watch movies"
"Naa Panta Kano",4.3,"Flop movies"
Simran,5.3,"one-time-watch movies"
"Beautiful Manasugalu",7.8,"Hit movies"
"The Doll 2",5.3,"one-time-watch movies"
"Anonymous 616",5.3,"one-time-watch movies"
V.I.P.,6.3,"one-time-watch movies"
Ten,4.6,"Flop movies"
"Fast Color",5.8,"one-time-watch movies"
Konwój,5.9,"one-time-watch movies"
"Puthan Panam",6.0,"one-time-watch movies"
Patser,6.7,"one-time-watch movies"
"Brothers in Arms",5.5,"one-time-watch movies"
"Las grietas de Jara",5.7,"one-time-watch movies"
"The Coldest Game",6.2,"one-time-watch movies"
"The Hurt",3.2,"Flop movies"
"End Trip",7.3,"Hit movies"
Housewife,4.8,"Flop movies"
Irada,6.2,"one-time-watch movies"
"Tempus Tormentum",3.8,"Flop movies"
"Polícia Federal: A Lei é para Todos",6.8,"one-time-watch movies"
Serenity,5.3,"one-time-watch movies"
Mersal,7.7,"Hit movies"
"Gol-deun seul-leom-beo",5.8,"one-time-watch movies"
Kääntöpiste,6.1,"one-time-watch movies"
"Project Ithaca",3.9,"Flop movies"
Siberia,4.3,"Flop movies"
Rideshare,5.2,"one-time-watch movies"
Armomurhaaja,6.8,"one-time-watch movies"
"Mata Batin",5.1,"one-time-watch movies"
Tiere,6.7,"one-time-watch movies"
"Haseena Parkar",4.2,"Flop movies"
Baazaar,6.6,"one-time-watch movies"
Piercing,5.6,"one-time-watch movies"
Spyder,6.7,"one-time-watch movies"
"El otro hermano",6.5,"one-time-watch movies"
Jagveld,5.9,"one-time-watch movies"
Skjelvet,6.2,"one-time-watch movies"
"The Wicked Gift",5.6,"one-time-watch movies"
"Frères ennemis",6.3,"one-time-watch movies"
Nomis,5.8,"one-time-watch movies"
Haunt,6.3,"one-time-watch movies"
#SquadGoals,4.0,"Flop movies"
Reprisal,4.2,"Flop movies"
"Life Like",5.4,"one-time-watch movies"
"Siew Lup",6.8,"one-time-watch movies"
"Monster Party",5.4,"one-time-watch movies"
"American Pets",4.5,"Flop movies"
Sweetheart,5.5,"one-time-watch movies"
Cutterhead,6.1,"one-time-watch movies"
Yaman,6.3,"one-time-watch movies"
"Death Game",6.6,"one-time-watch movies"
Tamaroz,6.6,"one-time-watch movies"
"Night Bus",7.2,"Hit movies"
"The Fast and the Fierce",2.3,"Flop movies"
"Adam Joan",6.5,"one-time-watch movies"
Sathya,2.6,"Flop movies"
"Strategy and Pursuit",7.4,"Hit movies"
Hesperia,4.1,"Flop movies"
Drive,2.3,"Flop movies"
"Kuttram 23",7.3,"Hit movies"
"Mai mee Samui samrab ter",6.1,"one-time-watch movies"
Haebing,6.4,"one-time-watch movies"
"Rust Creek",5.8,"one-time-watch movies"
Solo,7.1,"Hit movies"
Manu,8.0,"Hit movies"
Villain,6.4,"one-time-watch movies"
Lakshyam,5.6,"one-time-watch movies"
"Indu Sarkar",6.0,"one-time-watch movies"
"The House of Violent Desire",3.2,"Flop movies"
"A Good Woman Is Hard to Find",6.1,"one-time-watch movies"
"The Wrong Nanny",4.8,"Flop movies"
"Triple Threat",5.5,"one-time-watch movies"
"Yuddham Sharanam",6.0,"one-time-watch movies"
Maracaibo,6.3,"one-time-watch movies"
Carbon,6.9,"one-time-watch movies"
Fantasten,6.2,"one-time-watch movies"
"Every Time I Die",4.7,"Flop movies"
Nabab,7.7,"Hit movies"
Amok,5.8,"one-time-watch movies"
"Two Graves",4.2,"Flop movies"
Incoming,3.2,"Flop movies"
"Off the Rails",4.9,"Flop movies"
"Street Lights",6.6,"one-time-watch movies"
"Rapurasu no majo",5.3,"one-time-watch movies"
"Steig. Nicht. Aus!",5.6,"one-time-watch movies"
Ittefaq,7.2,"Hit movies"
"The Riot Act",4.4,"Flop movies"
"Babumoshai Bandookbaaz",6.9,"one-time-watch movies"
Kavan,7.1,"Hit movies"
"Dead Water",3.2,"Flop movies"
"Playing with Dolls: Havoc",3.8,"Flop movies"
Bhaagamathie,7.0,"Hit movies"
Oxygen,5.5,"one-time-watch movies"
Revenge,6.3,"one-time-watch movies"
"Numéro une",6.0,"one-time-watch movies"
"Den skyldige",7.5,"Hit movies"
"8 Thottakkal",7.6,"Hit movies"
"Room for Rent",5.8,"one-time-watch movies"
"Saab Bahadar",7.2,"Hit movies"
"High Heel Homicide",3.6,"Flop movies"
Dogman,7.3,"Hit movies"
"American Dreamer",5.6,"one-time-watch movies"
"Escape Plan: The Extractors",4.4,"Flop movies"
"Truth or Dare",5.1,"one-time-watch movies"
"Diwanji Moola Grand Prix",4.8,"Flop movies"
Aiyaary,5.2,"one-time-watch movies"
"Aala Kaf Ifrit",7.0,"Hit movies"
Totem,4.5,"Flop movies"
"A Deadly View",3.2,"Flop movies"
"El crack cero",7.4,"Hit movies"
Verna,7.2,"Hit movies"
Nighthawks,3.3,"Flop movies"
"The 15:17 to Paris",5.2,"one-time-watch movies"
"Une vie violente",6.0,"one-time-watch movies"
Doe,5.1,"one-time-watch movies"
"Si-gan-wi-ui jib",6.3,"one-time-watch movies"
Glass,6.7,"one-time-watch movies"
"The Field",4.0,"Flop movies"
"Mr. Jones",6.7,"one-time-watch movies"
"Welcome Home",5.2,"one-time-watch movies"
"Loosideu deurim",6.1,"one-time-watch movies"
"Das Ende der Wahrheit",6.2,"one-time-watch movies"
Saaho,5.5,"one-time-watch movies"
Vault,5.4,"one-time-watch movies"
"A Tale of Shadows",5.9,"one-time-watch movies"
"Baaghi 2",5.0,"one-time-watch movies"
"Til Death Do Us Part",4.5,"Flop movies"
Peppermint,6.5,"one-time-watch movies"
"Nigerian Prince",5.1,"one-time-watch movies"
"Elizabeth Harvest",5.7,"one-time-watch movies"
"Alien Domicile 2: Lot 24",7.9,"Hit movies"
#Captured,6.1,"one-time-watch movies"
"The Appearance",4.6,"Flop movies"
Us,6.9,"one-time-watch movies"
Roofied,1.1,"Flop movies"
"The Hummingbird Project",6.2,"one-time-watch movies"
Vivegam,5.7,"one-time-watch movies"
Perception,5.9,"one-time-watch movies"
"Hong hai xing dong",6.7,"one-time-watch movies"
"The Follower",4.5,"Flop movies"
Ha-roo,6.8,"one-time-watch movies"
"Absurd Accident",6.1,"one-time-watch movies"
"La ragazza nella nebbia",6.8,"one-time-watch movies"
Tueurs,6.1,"one-time-watch movies"
Hyeob-sang,6.5,"one-time-watch movies"
"Al Asleyeen",7.0,"Hit movies"
"The Midnight Matinee",3.7,"Flop movies"
"Journal 64",7.4,"Hit movies"
"Deadly Exchange",4.9,"Flop movies"
Prodigy,3.4,"Flop movies"
Prescience,3.5,"Flop movies"
"Sarajin bam",6.6,"one-time-watch movies"
One,6.0,"one-time-watch movies"
"The Fox",4.7,"Flop movies"
Hospitality,4.5,"Flop movies"
"The Nightmare Gallery",3.8,"Flop movies"
Blackmail,7.0,"Hit movies"
Clickbait,6.1,"one-time-watch movies"
"Nommer 37",6.2,"one-time-watch movies"
Joel,4.3,"Flop movies"
"Curse of the Nun",2.8,"Flop movies"
Uru,5.9,"one-time-watch movies"
"Paul Sanchez est revenu!",5.7,"one-time-watch movies"
"The Wrong Son",5.3,"one-time-watch movies"
Betrayed,6.3,"one-time-watch movies"
Velaikkaran,7.3,"Hit movies"
"Tam jeong 2",6.5,"one-time-watch movies"
El-Khaliyyah,6.5,"one-time-watch movies"
"Russkiy Bes",5.7,"one-time-watch movies"
Balloon,4.7,"Flop movies"
"Velvet Buzzsaw",5.7,"one-time-watch movies"
"The Cleaning Lady",5.5,"one-time-watch movies"
Jang-san-beom,5.5,"one-time-watch movies"
"The Pages",5.0,"one-time-watch movies"
Fuga,6.4,"one-time-watch movies"
Dharmayuddhaya,8.0,"Hit movies"
"Gi-eok-ui bam",7.4,"Hit movies"
"Angel of Mine",6.6,"one-time-watch movies"
Ratsasan,8.7,"superhit movies"
"Theeran Adhigaaram Ondru",8.3,"superhit movies"
"The Place",7.1,"Hit movies"
"What Keeps You Alive",5.7,"one-time-watch movies"
"Inori no maku ga oriru toki",7.1,"Hit movies"
Carnivores,5.2,"one-time-watch movies"
Sathya,6.6,"one-time-watch movies"
"Nowhere Mind",4.6,"Flop movies"
"In un giorno la fine",5.4,"one-time-watch movies"
Donnybrook,5.3,"one-time-watch movies"
Pandigai,6.6,"one-time-watch movies"
"Gemini Ganeshanum Suruli Raajanum",5.8,"one-time-watch movies"
"Duverný neprítel",5.5,"one-time-watch movies"
"The Chain",4.6,"Flop movies"
"El reino",7.3,"Hit movies"
Woosang,5.8,"one-time-watch movies"
Raazi,7.8,"Hit movies"
"Rocky Mental",5.8,"one-time-watch movies"
"La sombra de la ley",6.3,"one-time-watch movies"
Kavaludaari,8.1,"superhit movies"
"Die in One Day",4.8,"Flop movies"
Ballon,7.6,"Hit movies"
Stillwater,5.1,"one-time-watch movies"
"Bonehill Road",6.3,"one-time-watch movies"
"Zhan lang II",6.0,"one-time-watch movies"
"Ach spij kochanie",5.5,"one-time-watch movies"
"Against the Night",4.9,"Flop movies"
Maradona,6.5,"one-time-watch movies"
"Edge of Fear",4.4,"Flop movies"
Kataka,7.7,"Hit movies"
"Net I Die",3.8,"Flop movies"
"No dormirás",5.1,"one-time-watch movies"
"Sequestro Relâmpago",4.8,"Flop movies"
"Night Zero",3.2,"Flop movies"
"The Perception",4.7,"Flop movies"
"Iravukku Aayiram Kangal",7.3,"Hit movies"
"Irumbu Thirai",7.7,"Hit movies"
Lifechanger,5.3,"one-time-watch movies"
Benzersiz,4.8,"Flop movies"
Thupparivaalan,7.5,"Hit movies"
"Twin Betrayal",5.4,"one-time-watch movies"
"Real Cases of Shadow People The Sarah McCormick Story",6.8,"one-time-watch movies"
"Pussy Kills",3.6,"Flop movies"
Jawaan,4.7,"Flop movies"
Heilstätten,4.1,"Flop movies"
"Operation Alamelamma",8.1,"superhit movies"
"Kuang shou",5.5,"one-time-watch movies"
Kaaviyyan,5.6,"one-time-watch movies"
"Puen Tee Raluek",6.0,"one-time-watch movies"
"The System",2.9,"Flop movies"
"Heesaeng boohwalja",5.7,"one-time-watch movies"
Artik,4.0,"Flop movies"
"En affære",5.7,"one-time-watch movies"
"Lucky Day",5.0,"one-time-watch movies"
"Nene Raju Nene Mantri",5.8,"one-time-watch movies"
LIE,5.9,"one-time-watch movies"
Botoks,3.7,"Flop movies"
"Kala Viplavam Pranayam",4.7,"Flop movies"
"Orayiram Kinakkalal",5.9,"one-time-watch movies"
"Kurangu Bommai",8.1,"superhit movies"
Karuppan,5.6,"one-time-watch movies"
"A Lover Betrayed",5.4,"one-time-watch movies"
#Followme,4.3,"Flop movies"
"Kaashi in Search of Ganga",5.6,"one-time-watch movies"
"Tik Tik Tik",6.1,"one-time-watch movies"
"Long Lost",5.0,"one-time-watch movies"
"Hell Is Where the Home Is",5.8,"one-time-watch movies"
Joker,8.8,"superhit movies"
Pimped,4.3,"Flop movies"
"Between Worlds",4.6,"Flop movies"
"The Lake Vampire",5.7,"one-time-watch movies"
"Nothing Really Happens",5.3,"one-time-watch movies"
"Svaha: The Sixth Finger",6.3,"one-time-watch movies"
"Notes on an Appearance",5.4,"one-time-watch movies"
"Them That Follow",5.2,"one-time-watch movies"
"30 Miles from Nowhere",4.2,"Flop movies"
"Killer Kate!",3.6,"Flop movies"
Savovi,7.4,"Hit movies"
Vals,5.0,"one-time-watch movies"
"Direnis Karatay",7.0,"Hit movies"
"Abrahaminte Santhathikal",7.7,"Hit movies"
"Scars of Xavier",3.8,"Flop movies"
"The Lodge",6.7,"one-time-watch movies"
"Head Count",5.3,"one-time-watch movies"
"El desentierro",4.9,"Flop movies"
Eter,5.5,"one-time-watch movies"
"La hora final",6.1,"one-time-watch movies"
"Ouija House",3.0,"Flop movies"
Duelles,6.2,"one-time-watch movies"
"Red Letter Day",4.4,"Flop movies"
"In the Cloud",3.6,"Flop movies"
Missing,5.7,"one-time-watch movies"
Removed,6.4,"one-time-watch movies"
Illusions,7.2,"Hit movies"
"Cómprame un revolver",6.6,"one-time-watch movies"
"The Wrong Daughter",5.1,"one-time-watch movies"
War,6.8,"one-time-watch movies"
"Race 3",2.0,"Flop movies"
"Low Tide",6.1,"one-time-watch movies"
"The Farm: En Veettu Thottathil",7.4,"Hit movies"
"Askin Gören Gözlere Ihtiyaci yok",5.2,"one-time-watch movies"
"Bottle Girl",4.7,"Flop movies"
Like.Share.Follow.,5.1,"one-time-watch movies"
"Doll Cemetery",3.3,"Flop movies"
Anna,6.6,"one-time-watch movies"
"Le chant du loup",7.0,"Hit movies"
"Killers Within",5.1,"one-time-watch movies"
"The Oath",5.3,"one-time-watch movies"
"7 Hosil",5.7,"one-time-watch movies"
"Yol kenari",6.7,"one-time-watch movies"
"The Boat",5.3,"one-time-watch movies"
"Seung joi nei jor yau",5.4,"one-time-watch movies"
Silencio,4.8,"Flop movies"
"The Gallows Act II",4.6,"Flop movies"
Nematoma,7.1,"Hit movies"
"B. Tech",6.2,"one-time-watch movies"
"The Tooth and the Nail",6.4,"one-time-watch movies"
"Xue guan yin",7.4,"Hit movies"
"Semma Botha Aagatha",5.0,"one-time-watch movies"
Eyewitness,4.7,"Flop movies"
"The Burial Of Kojo",6.3,"one-time-watch movies"
"Party Hard Die Young",6.0,"one-time-watch movies"
"Thiruttu Payale 2",6.7,"one-time-watch movies"
Kee,5.2,"one-time-watch movies"
"Yin bao zhe",5.9,"one-time-watch movies"
"Paradise Beach",4.4,"Flop movies"
"The Dig",6.2,"one-time-watch movies"
"Bez menya",5.7,"one-time-watch movies"
Animal,6.2,"one-time-watch movies"
"It Kills",2.4,"Flop movies"
"Swathanthryam Ardharathriyil",7.4,"Hit movies"
Koxa,4.2,"Flop movies"
Trickster,3.7,"Flop movies"
F20,5.1,"one-time-watch movies"
Unda,8.1,"superhit movies"
"Wake Up",5.0,"one-time-watch movies"
"Survival Box",2.9,"Flop movies"
Schoolhouse,2.8,"Flop movies"
"The Legend of Halloween Jack",3.1,"Flop movies"
Ira,6.9,"one-time-watch movies"
"The Open House",3.2,"Flop movies"
"Daughter of the Wolf",5.7,"one-time-watch movies"
"A Night to Regret",5.2,"one-time-watch movies"
"Rewind: Die zweite Chance",5.6,"one-time-watch movies"
"The Wedding Guest",5.6,"one-time-watch movies"
"This Old Machine",2.0,"Flop movies"
"La quietud",6.1,"one-time-watch movies"
"The Manson Family Massacre",3.2,"Flop movies"
Searching,7.7,"Hit movies"
Thriller,3.8,"Flop movies"
"Papa, sdokhni",6.8,"one-time-watch movies"
Yazh,8.3,"superhit movies"
"Monsters and Men",5.7,"one-time-watch movies"
Superfly,5.1,"one-time-watch movies"
"El pacto",5.3,"one-time-watch movies"
"18am Padi",6.2,"one-time-watch movies"
"Best F(r)iends: Volume 2",5.1,"one-time-watch movies"
"According to Mathew",6.8,"one-time-watch movies"
Diya,5.7,"one-time-watch movies"
Chanakyatanthram,5.6,"one-time-watch movies"
"To thávma tis thálassas ton Sargassón",5.7,"one-time-watch movies"
"Alpha Wolf",3.1,"Flop movies"
"Silent Panic",4.6,"Flop movies"
Genius,4.6,"Flop movies"
Nirdosh,3.8,"Flop movies"
"Il testimone invisibile",6.7,"one-time-watch movies"
"Blood Craft",3.5,"Flop movies"
Naachiyar,6.9,"one-time-watch movies"
"Until Midnight",8.0,"Hit movies"
"Çocuklar Sana Emanet",5.3,"one-time-watch movies"
"Somewhere Beyond the Mist",5.9,"one-time-watch movies"
"Apró mesék",7.3,"Hit movies"
Goodachari,7.8,"Hit movies"
"Okka Kshanam",7.0,"Hit movies"
"Cola de Mono",5.4,"one-time-watch movies"
"Varikkuzhiyile Kolapathakam",6.4,"one-time-watch movies"
"The Perfection",6.1,"one-time-watch movies"
Awe!,7.9,"Hit movies"
Lukas,5.9,"one-time-watch movies"
"Odds Are",3.9,"Flop movies"
Thadam,8.2,"superhit movies"
Profile,7.3,"Hit movies"
"Thuppaki Munai",6.3,"one-time-watch movies"
"Loon Lake",5.5,"one-time-watch movies"
Feedback,5.4,"one-time-watch movies"
Luz,5.6,"one-time-watch movies"
"Aapla Manus",7.5,"Hit movies"
122,7.1,"Hit movies"
"The Fanatic",4.7,"Flop movies"
Mercury,6.2,"one-time-watch movies"
"Family Blood",4.2,"Flop movies"
Lottery,5.8,"one-time-watch movies"
"4 Rah Istanbul",5.5,"one-time-watch movies"
"Be Vaghte Sham",5.5,"one-time-watch movies"
"Maghzhaye Koochake Zang Zadeh",7.6,"Hit movies"
"Gogol. Viy",5.8,"one-time-watch movies"
"Deception: Oo Pel Dan Myin",8.2,"superhit movies"
E-Demon,3.3,"Flop movies"
"Spider in the Web",4.5,"Flop movies"
"Body at Brighton Rock",4.6,"Flop movies"
Depraved,4.9,"Flop movies"
Prospect,6.2,"one-time-watch movies"
"Bordo Bereliler Afrin",1.5,"Flop movies"
Acusada,6.1,"one-time-watch movies"
Ma,5.6,"one-time-watch movies"
"The Mule",7.0,"Hit movies"
"Utøya 22. juli",7.3,"Hit movies"
"The Farm",3.7,"Flop movies"
Vikadakumaran,6.0,"one-time-watch movies"
"Kargar sadeh niazmandim",5.8,"one-time-watch movies"
"Quien a hierro mata",7.0,"Hit movies"
"70 Binladens",5.8,"one-time-watch movies"
"The Haunting of Sharon Tate",2.9,"Flop movies"
Garbage,3.3,"Flop movies"
Sabrina,4.2,"Flop movies"
"Morto Não Fala",6.1,"one-time-watch movies"
"Aschhe Abar Shabor",6.2,"one-time-watch movies"
"The Operative",5.6,"one-time-watch movies"
"Foto na pamyat",3.1,"Flop movies"
